group_type,group_value,count,mean_degradation_abs,std_degradation_abs,mean_degradation_rel,std_degradation_rel,mean_layer_idx,std_layer_idx
Overall,All,24,0.754577367827865,0.939268039677994,0.5385842166028365,0.4737346434865258,1.8333333333333333,1.3405601251996728
Metric Type,Derivatives_Residual,8,1.7037222981452942,0.9684235681551648,0.6021027057300944,0.3552692613945864,1.25,0.4629100498862757
Metric Type,Derivatives_IC,3,0.24887522061665854,0.16798350744970522,0.4201006911263881,0.31015257033600024,1.0,0.0
Metric Type,Derivatives_BC_Derivative,6,0.5015174681320786,0.6721619294564588,0.6901856053076795,0.8180218549575026,3.0,1.6733200530681511
Metric Type,Derivatives_BC_Value,6,0.11801708078322311,0.12326482073435274,0.44224753414469054,0.21797030656281915,2.0,1.5491933384829668
Metric Type,NCC,1,0.016245487364620892,,0.0542986425339365,,1.0,
Num Layers,5,5,0.38377527697011826,0.5199667204044179,0.29325815925538945,0.1535955608409893,2.6,1.5165750888103102
Num Layers,3,10,1.1434238135814667,1.2305017540983911,0.5678425868380256,0.3597472284110633,1.0,0.0
Num Layers,7,9,0.5285269230226114,0.6044743508188178,0.6423671704234302,0.6610797775069271,2.3333333333333335,1.5811388300841898
Num Parameters,10k-20k,3,0.06556104224009346,0.04496135060761725,0.45783869193476107,0.3599297436078605,1.0,0.0
Num Parameters,20k-30k,9,0.4410614333529439,0.7785304588780598,0.2843280410639687,0.20111528620941793,2.7777777777777777,1.7873008824606014
Num Parameters,30k-40k,4,1.1372727006673813,0.28672018746792166,0.9883145028735381,0.8776727625619375,2.0,0.0
Num Parameters,40k-50k,8,1.1743162497878075,1.2471388481890708,0.6300368426992402,0.3361216437235914,1.0,0.0
