model_name,num_layers,num_parameters,worst_metric,non_monotone_layers,worst_degradation_pct,metrics_violated
wave1d-2-70-70-70-70-70-70-70-1-tanh,7,"30,101",BC Derivative L2 (eval),"2, 5, 6",107.1%,8
wave1d-2-50-50-50-50-50-1-tanh,5,"10,401",BC Derivative L2 (eval),"2, 4",74.0%,3
wave1d-2-58-58-58-58-58-58-58-1-tanh,7,"20,765",Residual L2 (eval),"2, 3, 4, 5, 6",64.9%,9
wave1d-2-70-70-70-70-70-1-tanh,5,"20,161",BC Derivative L2 (eval),"2, 3, 4, 5",64.8%,8
wave1d-2-36-36-36-36-36-1-tanh,5,"5,473",IC L2 (eval),2,46.6%,6
wave1d-2-28-28-28-28-28-28-28-1-tanh,7,"4,985",IC L2 (eval),"2, 3, 5, 6",46.5%,7
wave1d-2-85-85-85-85-85-1-tanh,5,"29,581",BC Value L2 (eval),2,40.8%,2
wave1d-2-40-40-40-40-40-40-40-1-tanh,7,"10,001",Residual L2 (eval),"2, 4",40.1%,7
wave1d-2-70-70-70-1-tanh,3,"10,221",NCC Accuracy,3,14.8%,1
wave1d-2-120-120-120-1-tanh,3,"29,521",NCC Accuracy,3,10.2%,1
