metric,model_name,num_layers,num_parameters,layer_num,degradation_rel
ncc_accuracy,wave1d-2-120-120-120-1-tanh,3,29521,3,0.10188356164383562
ncc_accuracy,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,6,0.10097431355181585
ncc_accuracy,wave1d-2-40-40-40-40-40-40-40-1-tanh,7,10001,4,0.16088560885608855
ncc_accuracy,wave1d-2-70-70-70-1-tanh,3,10221,3,0.1475409836065574
ncc_accuracy,wave1d-2-70-70-70-70-70-1-tanh,5,20161,5,0.13515456506110707
residual_l2,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,3,0.29487402696115667
residual_l2,wave1d-2-40-40-40-40-40-40-40-1-tanh,7,10001,2,0.4014750530535815
residual_l2,wave1d-2-40-40-40-40-40-40-40-1-tanh,7,10001,4,0.2671721870746709
residual_l2,wave1d-2-58-58-58-58-58-58-58-1-tanh,7,20765,2,0.6486354231329791
residual_l2,wave1d-2-70-70-70-70-70-1-tanh,5,20161,2,0.2611483249747755
residual_l2,wave1d-2-70-70-70-70-70-70-70-1-tanh,7,30101,2,0.5760228772045161
residual_linf,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,3,0.29487402696115667
residual_linf,wave1d-2-40-40-40-40-40-40-40-1-tanh,7,10001,2,0.4014750530535815
residual_linf,wave1d-2-40-40-40-40-40-40-40-1-tanh,7,10001,4,0.2671721870746709
residual_linf,wave1d-2-58-58-58-58-58-58-58-1-tanh,7,20765,2,0.6486354231329791
residual_linf,wave1d-2-70-70-70-70-70-1-tanh,5,20161,2,0.2611483249747755
residual_linf,wave1d-2-70-70-70-70-70-70-70-1-tanh,7,30101,2,0.5760228772045161
ic_l2,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,3,0.46549243566798715
ic_l2,wave1d-2-36-36-36-36-36-1-tanh,5,5473,2,0.46595267945598035
ic_l2,wave1d-2-58-58-58-58-58-58-58-1-tanh,7,20765,2,0.12102181573459103
ic_l2,wave1d-2-70-70-70-70-70-70-70-1-tanh,7,30101,2,0.11821161282971396
ic_linf,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,3,0.46549243566798715
ic_linf,wave1d-2-36-36-36-36-36-1-tanh,5,5473,2,0.46595267945598035
ic_linf,wave1d-2-58-58-58-58-58-58-58-1-tanh,7,20765,2,0.12102181573459103
ic_linf,wave1d-2-70-70-70-70-70-70-70-1-tanh,7,30101,2,0.11821161282971396
bc_derivative_l2,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,2,0.1686528811425047
bc_derivative_l2,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,5,0.46135107602755393
bc_derivative_l2,wave1d-2-36-36-36-36-36-1-tanh,5,5473,2,0.44312664686828895
bc_derivative_l2,wave1d-2-40-40-40-40-40-40-40-1-tanh,7,10001,4,0.3649663011008639
bc_derivative_l2,wave1d-2-50-50-50-50-50-1-tanh,5,10401,2,0.1359013736589704
bc_derivative_l2,wave1d-2-50-50-50-50-50-1-tanh,5,10401,4,0.7404586917978083
bc_derivative_l2,wave1d-2-58-58-58-58-58-58-58-1-tanh,7,20765,2,0.1530847920823387
bc_derivative_l2,wave1d-2-58-58-58-58-58-58-58-1-tanh,7,20765,4,0.6466734400140635
bc_derivative_l2,wave1d-2-70-70-70-70-70-1-tanh,5,20161,4,0.6483670352583782
bc_derivative_l2,wave1d-2-70-70-70-70-70-70-70-1-tanh,7,30101,2,1.07110198496765
bc_derivative_linf,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,2,0.1686528811425047
bc_derivative_linf,wave1d-2-28-28-28-28-28-28-28-1-tanh,7,4985,5,0.46135107602755393
bc_derivative_linf,wave1d-2-36-36-36-36-36-1-tanh,5,5473,2,0.44312664686828895
bc_derivative_linf,wave1d-2-40-40-40-40-40-40-40-1-tanh,7,10001,4,0.3649663011008639
bc_derivative_linf,wave1d-2-50-50-50-50-50-1-tanh,5,10401,2,0.1359013736589704
bc_derivative_linf,wave1d-2-50-50-50-50-50-1-tanh,5,10401,4,0.7404586917978083
bc_derivative_linf,wave1d-2-58-58-58-58-58-58-58-1-tanh,7,20765,2,0.1530847920823387
bc_derivative_linf,wave1d-2-58-58-58-58-58-58-58-1-tanh,7,20765,4,0.6466734400140635
bc_derivative_linf,wave1d-2-70-70-70-70-70-1-tanh,5,20161,4,0.6483670352583782
bc_derivative_linf,wave1d-2-70-70-70-70-70-70-70-1-tanh,7,30101,2,1.07110198496765
probe_rel_l2,wave1d-2-36-36-36-36-36-1-tanh,5,5473,2,0.16535183295581604
probe_rel_l2,wave1d-2-70-70-70-70-70-70-70-1-tanh,7,30101,2,0.19835760378589437
probe_rel_l2,wave1d-2-70-70-70-70-70-70-70-1-tanh,7,30101,5,0.14705900512788603
probe_linf,wave1d-2-36-36-36-36-36-1-tanh,5,5473,2,0.2817096466948868
probe_linf,wave1d-2-40-40-40-40-40-40-40-1-tanh,7,10001,4,0.3336211850196664
probe_linf,wave1d-2-50-50-50-50-50-1-tanh,5,10401,2,0.2662929907380018
ncc_compactness,wave1d-2-40-40-40-40-40-40-40-1-tanh,7,10001,4,0.1150243825923994
ncc_compactness,wave1d-2-58-58-58-58-58-58-58-1-tanh,7,20765,5,0.13531046916874118
ncc_compactness,wave1d-2-58-58-58-58-58-58-58-1-tanh,7,20765,6,0.19622999660845636
ncc_compactness,wave1d-2-70-70-70-70-70-1-tanh,5,20161,5,0.18173609950154931
ncc_compactness,wave1d-2-70-70-70-70-70-70-70-1-tanh,7,30101,6,0.1134488349393169
bc_value_l2,wave1d-2-58-58-58-58-58-58-58-1-tanh,7,20765,3,0.11362146977075192
bc_value_l2,wave1d-2-70-70-70-70-70-1-tanh,5,20161,3,0.14721182098593066
bc_value_l2,wave1d-2-85-85-85-85-85-1-tanh,5,29581,2,0.4083039286636288
bc_value_linf,wave1d-2-58-58-58-58-58-58-58-1-tanh,7,20765,3,0.11362146977075192
bc_value_linf,wave1d-2-70-70-70-70-70-1-tanh,5,20161,3,0.14721182098593066
bc_value_linf,wave1d-2-85-85-85-85-85-1-tanh,5,29581,2,0.4083039286636288
